老いても最前線で戦う秦国の宰相・百里奚から学ぶ【COTEN RADIO 番外編 #3】,/watch?v=4ZYhBq-9V8Q
今の時代になぜリベラルアーツが大切なのか？【COTEN RADIO 番外編 #2】,/watch?v=aqFOpBWfEec
古代のソーシャルベンチャー起業家「墨子」【COTEN RADIO 番外編 #1】,/watch?v=NspEoxQg5Mg
結局、天皇ってなんだっけ？世界一特殊な日本の皇室【COTEN RADIO #16】,/watch?v=R3aaC4BBVTQ
マスメディアの誕生と電気通信 ― 人類のコミュニケーション史【COTEN RADIO #15】,/watch?v=EC_g2ReW-r4
炎上の元祖！活版印刷 ―人類のコミュニケーション史【COTEN RADIO #14】,/watch?v=FWwpeRyhHe4
文字、爆誕。― 人類のコミュニケーション史【COTEN RADIO #13】,/watch?v=6vSclc0N5Ic
インターネットの本当の凄さ ―人類のコミュニケーション史【COTEN RADIO #12】,/watch?v=Opb5REyVsNk
草食系男子がスパルタ漢にお悩み相談するとしたら？【COTEN RADIO #11】,/watch?v=Y88fPSzdcYA
アテネはどうすればスパルタに勝てたのか？頭脳が脳筋に負ける時【COTEN RADIO #10】,/watch?v=eN0sIq332OU
スパルタとアテネを比較して考える ― 脳筋VS頭脳、勝つのはどっち？【COTEN RADIO #09】,/watch?v=2kPwhNmKUXM
スパルタ人のグルメ ― ギリシャ一マズイ飯、いかがですか？【COTEN RADIO #08】,/watch?v=kjenu0OuI2o
中国と日本を歴史的観点から比較【COTEN RADIO 番外編】,/watch?v=YpoDzP19nck
スパルタ人の性事情 ― 戦争に勝つためのスパルタ式肉欲道【COTEN RADIO #07】,/watch?v=Pkqx0O-sv4Y
スパルタでイケてる男の基準！【COTEN RADIO #06】,/watch?v=X0_q7MB3jaQ
スパルタ人の壮絶な一生！まさにスパルタ教育【COTEN RADIO #05】,/watch?v=J_kARj-FuPw
もし吉田松陰に人生相談ができたら・・・？【COTEN RADIO #04】,/watch?v=2cJi5iIOCyU
黒船が来たときに吉田松陰がとった「とんでもない行動」とは！？【COTEN RADIO #03】,/watch?v=Mzr3fk1ExGA
吉田松陰の「感化力」がすごい！【COTEN RADIO #02】,/watch?v=2xDAjrniULM
吉田松陰が脱藩した衝撃の理由！【COTEN RADIO #01】,/watch?v=VMpjzAA6hNI
韓非子  ―部下が上司に本音を相談できないとき、どうすればいい？【COTEN RADIO #00】,/watch?v=cfc9wvaiiX4
